1;28/08/2017;Paypal;François-Joseph;Hoferlin
2;13/09/2017;Visa;Jean;Asselborn
3;01/07/2017;MasterCard;Robert;Everling
4;11/07/2017;DigiCash;Victor;Abens
5;17/04/2017;Paypal;Jean;Mersch-Wittenauer
6;23/05/2017;Visa;Nicolas;Wellenstein
7;03/10/2017;MasterCard;Joseph;Palgen
8;28/09/2017;DigiCash;Pierre;Kirsch
9;02/12/2017;Paypal;Lucien;Lux
10;03/04/2017;Visa;François-Joseph;Hoferlin
11;10/12/2017;MasterCard;Jean;Asselborn
12;30/03/2017;DigiCash;Robert;Everling
13;07/03/2017;Paypal;Victor;Abens
14;10/08/2017;Visa;Jean;Mersch-Wittenauer
15;02/10/2017;MasterCard;Nicolas;Wellenstein
16;26/10/2017;DigiCash;Joseph;Palgen
17;04/10/2017;Paypal;Pierre;Kirsch
18;14/03/2017;Visa;Lucien;Lux
19;26/06/2017;MasterCard;François-Joseph;Hoferlin
20;20/05/2017;DigiCash;Jean;Asselborn
21;12/10/2017;Paypal;Robert;Everling
22;25/08/2017;Visa;Victor;Abens
23;08/05/2017;MasterCard;Jean;Mersch-Wittenauer
24;17/11/2017;DigiCash;Nicolas;Wellenstein
25;07/10/2017;Paypal;Joseph;Palgen
26;07/11/2017;Visa;Pierre;Kirsch
27;16/02/2017;MasterCard;Lucien;Lux
28;05/08/2017;DigiCash;François-Joseph;Hoferlin
29;24/01/2017;Paypal;Jean;Asselborn
30;08/09/2017;Visa;Robert;Everling
31;29/08/2017;MasterCard;Victor;Abens
32;10/12/2017;DigiCash;Jean;Mersch-Wittenauer
33;23/08/2017;Paypal;Nicolas;Wellenstein
34;05/10/2017;Visa;Joseph;Palgen
35;23/02/2017;MasterCard;Pierre;Kirsch
36;10/09/2017;DigiCash;Lucien;Lux
37;21/01/2017;Paypal;François-Joseph;Hoferlin
38;25/03/2017;Visa;Jean;Asselborn
39;21/03/2017;MasterCard;Robert;Everling
40;26/01/2017;DigiCash;Victor;Abens
41;29/11/2017;Paypal;Jean;Mersch-Wittenauer
42;15/09/2017;Visa;Nicolas;Wellenstein
43;06/07/2017;MasterCard;Joseph;Palgen
44;19/11/2017;DigiCash;Pierre;Kirsch
45;14/02/2017;Paypal;Lucien;Lux
46;19/09/2017;Visa;Robert;Everling
47;03/01/2017;MasterCard;Victor;Abens
48;31/07/2017;DigiCash;Jean;Mersch-Wittenauer
49;23/02/2017;Paypal;Nicolas;Wellenstein
50;24/06/2017;Visa;Joseph;Palgen
51;03/03/2017;MasterCard;Pierre;Kirsch
52;28/04/2017;DigiCash;Lucien;Lux
53;22/07/2017;Paypal;Nicolas;Wellenstein
54;15/10/2017;Visa;Joseph;Palgen
55;08/11/2017;MasterCard;Pierre;Kirsch
56;12/09/2017;DigiCash;Lucien;Lux
57;10/07/2017;Paypal;Joseph;Palgen
58;08/06/2017;Visa;Pierre;Kirsch
59;04/03/2017;MasterCard;Lucien;Lux
60;04/03/2017;DigiCash;Pierre;Kirsch
61;28/06/2017;Paypal;Lucien;Lux
62;18/01/2017;Visa;Lucien;Lux
63;03/09/2017;MasterCard;Lucien;Lux
64;21/05/2017;DigiCash;Lucien;Lux
65;14/01/2017;Paypal;Lucien;Lux
66;31/03/2017;Visa;"Jean-Pierre David";Heldenstein
67;07/06/2017;MasterCard;Charles;Mathieu
68;16/02/2017;DigiCash;Nicolas;Wirtgen
69;01/06/2017;Paypal;"Jean Jacques";Faber
70;25/03/2017;Visa;Pierre;Kirsch
71;19/04/2017;MasterCard;Paul;Helminger
72;19/08/2017;DigiCash;Rene;Putzeys
73;05/07/2017;Paypal;Robert;Everling
74;11/06/2017;Visa;Joseph;Theis
75;08/02/2017;MasterCard;Florentin;Antony
76;04/09/2017;DigiCash;Gustave;Wilhelmy
77;10/11/2017;Paypal;Mathias;Greisch
78;08/01/2017;Visa;Astrid;Lulling
79;14/12/2016;MasterCard;Samson;Godchaux
80;27/09/2017;DigiCash;Alex;Bodry
81;19/11/2017;Paypal;Pierre;Becker
82;24/08/2017;Visa;Paul;Geimer
83;02/08/2017;MasterCard;Theodore;"de Wacquant"
84;05/10/2017;DigiCash;emile;Mousel
85;17/03/2017;Paypal;Claude;Bosseler
86;14/03/2017;Visa;Rene;Federspiel
87;22/06/2017;MasterCard;Jeannot;Bonifas
88;16/12/2016;DigiCash;Mady;Schaffner
89;30/07/2017;Paypal;Jean;Schiltz
